Date,Open,High,Low,Close,Adj Close,Volume
2023-12-28,311.579987,311.980011,310.529999,311.070007,310.182983,311700
2023-12-29,311.500000,313.890015,311.390015,313.089996,312.197235,499100
2024-01-02,312.359985,314.480011,310.540009,311.640015,310.751373,800200
2024-01-03,312.959991,314.239990,310.529999,312.000000,311.110352,720200
2024-01-04,313.089996,314.290009,311.709991,311.750000,310.861053,739200
2024-01-05,311.709991,312.190002,307.309998,309.160004,308.278442,492800
2024-01-08,310.359985,313.019989,308.609985,312.859985,311.967865,525400
2024-01-09,311.700012,312.850006,309.440002,312.010010,311.120331,629600
2024-01-10,312.459991,315.119995,312.019989,315.040009,314.141663,418700
2024-01-11,315.470001,316.029999,312.730011,314.279999,313.383820,624900
2024-01-12,315.290009,316.339996,313.670013,316.309998,315.408051,692300
2024-01-16,315.640015,317.149994,314.079987,315.649994,314.749908,499900
2024-01-17,315.720001,317.869995,315.720001,317.029999,316.126007,446100
2024-01-18,317.170013,321.040009,316.799988,320.970001,320.054749,724500
2024-01-19,323.019989,328.059998,322.079987,326.279999,325.349609,736400
2024-01-22,327.440002,328.149994,324.779999,324.989990,324.063293,797300
2024-01-23,325.839996,329.540009,325.239990,329.470001,328.530518,596000
2024-01-24,329.829987,330.929993,328.170013,328.350006,327.413727,559700
2024-01-25,329.540009,330.839996,326.829987,328.589996,327.653015,392600
2024-01-26,328.000000,329.269989,326.079987,326.100006,325.170135,487000
2024-01-29,325.100006,328.230011,325.070007,326.750000,325.818268,622800
2024-01-30,325.859985,328.079987,325.649994,327.519989,326.586060,791900
2024-01-31,326.579987,326.589996,319.489990,319.500000,318.588959,832400
2024-02-01,319.500000,325.209991,318.799988,325.149994,324.222839,533100
2024-02-02,324.720001,329.989990,324.720001,327.619995,326.685791,568900
2024-02-05,326.600006,326.609985,323.630005,325.299988,324.372406,670400
2024-02-06,324.910004,326.959991,321.459991,325.380005,324.452179,706500
2024-02-07,328.500000,328.920013,326.339996,327.929993,326.994904,543400
2024-02-08,330.000000,330.390015,326.149994,328.350006,327.413727,941500
2024-02-09,323.820007,333.000000,323.170013,330.890015,329.946472,1203300
2024-02-12,330.000000,330.799988,319.549988,320.089996,319.177277,907100
2024-02-13,319.750000,321.760010,314.839996,319.220001,318.309753,747500
2024-02-14,319.809998,320.109985,316.339996,319.390015,318.479279,496800
2024-02-15,318.859985,325.109985,318.420013,323.899994,322.976410,725000
2024-02-16,324.160004,324.160004,319.399994,320.489990,319.576111,548700
2024-02-20,319.339996,326.070007,318.200012,323.040009,322.118866,641700
2024-02-21,325.040009,325.989990,321.989990,324.820007,323.893799,430200
2024-02-22,327.750000,332.760010,325.779999,331.040009,330.096039,563500
2024-02-23,331.329987,333.609985,330.149994,330.269989,329.328217,442200
2024-02-26,331.750000,332.399994,327.970001,328.549988,327.613129,553100
2024-02-27,328.290009,328.779999,326.220001,328.679993,327.742767,352300
2024-02-28,328.820007,332.109985,328.070007,331.250000,330.305450,370100
2024-02-29,332.630005,334.679993,328.130005,330.390015,329.447906,1064400
2024-03-01,330.880005,335.880005,330.029999,335.559998,334.603149,463300
2024-03-04,335.049988,335.799988,332.839996,335.769989,334.812531,507500
2024-03-05,335.320007,335.679993,329.660004,331.809998,330.863861,574500
2024-03-06,334.959991,339.630005,334.000000,337.529999,336.567535,772000
2024-03-07,338.250000,338.299988,333.989990,334.200012,333.247040,529200
2024-03-08,333.869995,337.380005,332.359985,335.410004,334.453583,622400
2024-03-11,331.980011,338.119995,329.700012,338.029999,337.066101,491900
2024-03-12,338.609985,340.799988,336.070007,340.420013,339.449310,645000
2024-03-13,341.000000,344.850006,339.410004,343.679993,342.699982,875800
2024-03-14,344.540009,344.630005,340.670013,342.690002,342.690002,799600
2024-03-15,339.940002,344.670013,339.040009,344.190002,344.190002,1231100
2024-03-18,345.010010,347.079987,339.820007,340.029999,340.029999,749600
2024-03-19,341.519989,347.130005,341.010010,345.799988,345.799988,756900
2024-03-20,346.500000,347.209991,344.429993,346.029999,346.029999,686400
2024-03-21,346.540009,349.739990,345.250000,349.170013,349.170013,457100
2024-03-22,350.000000,351.329987,348.489990,348.559998,348.559998,374400
2024-03-25,347.380005,349.130005,346.959991,347.920013,347.920013,411100
2024-03-26,347.700012,350.100006,347.019989,347.609985,347.609985,451800
2024-03-27,350.500000,353.529999,348.940002,353.410004,353.410004,537500
2024-03-28,353.950012,355.390015,351.899994,354.980011,354.980011,705400
2024-04-01,353.809998,354.429993,351.429993,353.589996,353.589996,492200
2024-04-02,352.670013,354.200012,350.019989,352.070007,352.070007,529400
2024-04-03,351.779999,354.140015,350.119995,350.350006,350.350006,719900
2024-04-04,353.260010,355.320007,347.750000,347.929993,347.929993,706400
2024-04-05,348.940002,352.640015,348.149994,352.299988,352.299988,422000
2024-04-08,351.989990,354.140015,350.170013,352.029999,352.029999,393700
2024-04-09,352.459991,353.160004,348.079987,352.959991,352.959991,404300
2024-04-10,350.089996,350.089996,346.029999,347.450012,347.450012,570000
2024-04-11,348.750000,351.619995,348.619995,348.739990,348.739990,411300
2024-04-12,345.769989,347.549988,343.459991,343.809998,343.809998,413800
2024-04-15,347.630005,347.630005,338.380005,338.579987,338.579987,778000
2024-04-16,339.940002,341.589996,338.220001,340.109985,340.109985,530300
2024-04-17,342.200012,343.170013,339.209991,340.510010,340.510010,540400
2024-04-18,341.779999,342.589996,337.320007,339.459991,339.459991,493700
2024-04-19,341.070007,341.070007,337.160004,339.649994,339.649994,1393000
2024-04-22,341.420013,347.859985,339.760010,345.230011,345.230011,1026900
2024-04-23,345.970001,350.089996,344.920013,345.549988,345.549988,721300
2024-04-24,344.519989,346.899994,343.859985,345.109985,345.109985,616800
2024-04-25,345.200012,349.679993,343.010010,349.019989,349.019989,926200
2024-04-26,348.519989,349.279999,346.230011,346.480011,346.480011,595500
2024-04-29,347.010010,349.079987,345.739990,347.690002,347.690002,398100
2024-04-30,346.700012,347.070007,338.540009,339.149994,339.149994,1220800
2024-05-01,338.040009,340.070007,335.670013,336.000000,336.000000,1099600
2024-05-02,336.809998,337.010010,332.980011,336.239990,336.239990,1377400
2024-05-03,352.130005,356.170013,347.399994,353.700012,353.700012,1151500
2024-05-06,355.260010,355.260010,345.269989,349.640015,349.640015,1129300
2024-05-07,353.670013,358.200012,351.350006,358.170013,358.170013,801100
2024-05-08,359.809998,361.679993,358.239990,359.019989,359.019989,765000
2024-05-09,358.470001,360.579987,358.079987,360.109985,360.109985,526200
2024-05-10,361.170013,364.059998,360.450012,362.850006,362.850006,611200
2024-05-13,363.209991,364.470001,356.299988,358.000000,358.000000,1064500
2024-05-14,359.660004,362.989990,358.839996,361.049988,361.049988,975400
2024-05-15,360.959991,366.839996,360.959991,365.029999,365.029999,543900
2024-05-16,366.070007,367.809998,365.070007,366.410004,366.410004,453300
2024-05-17,369.589996,369.589996,366.209991,367.799988,367.799988,423900
2024-05-20,366.929993,368.459991,366.690002,368.429993,368.429993,291000
2024-05-21,368.739990,370.619995,367.890015,369.739990,369.739990,607200
2024-05-22,370.000000,372.010010,369.209991,371.070007,371.070007,410300
2024-05-23,369.839996,369.839996,362.549988,363.350006,363.350006,584400
2024-05-24,364.260010,365.820007,363.410004,364.600006,364.600006,518500
2024-05-28,363.579987,364.690002,358.510010,359.890015,359.890015,602900
2024-05-29,358.440002,360.359985,357.049988,357.109985,357.109985,584800
2024-05-30,357.029999,361.089996,356.899994,359.690002,359.690002,697600
2024-05-31,360.269989,365.160004,356.769989,364.910004,364.910004,1175000
2024-06-03,363.510010,366.500000,360.790009,366.399994,366.399994,585700
2024-06-04,366.190002,369.489990,365.239990,369.220001,369.220001,701600
2024-06-05,371.000000,372.010010,365.269989,370.649994,370.649994,640000
2024-06-06,370.799988,370.799988,367.179993,370.470001,370.470001,395700
2024-06-07,370.720001,373.750000,369.910004,371.059998,371.059998,400000
2024-06-10,370.690002,373.970001,370.000000,373.799988,373.799988,582700
2024-06-11,373.570007,377.040009,371.609985,376.899994,376.899994,668000
2024-06-12,379.989990,380.790009,377.299988,379.350006,379.350006,679800
2024-06-13,378.809998,381.600006,373.225006,376.709991,376.709991,555825
