Date,LNVGF Adj Close,MSI Adj Close
6/13/23,1.005533,276.608063
6/14/23,1.034262,275.815247
6/15/23,1.015109,279.739716
6/16/23,1.062992,277.737854
6/20/23,0.995956,276.608032
6/21/23,0.98638,278.639648
6/22/23,0.976803,281.137085
6/23/23,0.967227,276.112518
6/26/23,0.967227,277.876587
6/27/23,0.98638,281.335297
6/28/23,0.98638,280.998322
6/29/23,1.024686,286.003052
6/30/23,1.024686,290.651031
7/3/23,0.995956,290.135712
7/5/23,1.043839,290.115875
7/6/23,1.034262,292.970032
7/7/23,1.034262,289.253693
7/10/23,1.034262,292.325867
7/11/23,1.024686,293.643921
7/12/23,1.024686,292.216858
7/13/23,1.034262,289.541077
7/14/23,1.034262,288.450928
7/17/23,1.034262,288.877075
7/18/23,1.034262,288.104034
7/19/23,1.024686,289.342834
7/20/23,1.024686,292.861053
7/21/23,1.024686,293.534943
7/24/23,1.034262,292.910614
7/25/23,1.062992,295.289093
7/26/23,0.961849,292.752014
7/27/23,0.981681,289.075256
7/28/23,1.110588,288.44101
7/31/23,1.110588,284.060638
8/1/23,1.051092,285.547211
8/2/23,1.041176,285.071472
8/3/23,1.090756,285.130951
8/4/23,1.090756,276.350403
8/7/23,1.110588,277.896393
8/8/23,1.021345,275.309753
8/9/23,1.061008,278.699158
8/10/23,1.011429,279.462219
8/11/23,1.001513,283.396606
8/14/23,0.981681,282.484924
8/15/23,0.981681,278.768524
8/16/23,0.981681,279.115387
8/17/23,0.981681,274.972839
8/18/23,0.912269,275.190826
8/21/23,0.971765,274.675537
8/22/23,0.971765,273.416931
8/23/23,0.971765,275.299866
8/24/23,0.981681,273.129517
8/25/23,0.951933,276.281006
8/28/23,0.951933,278.362183
8/29/23,1.08084,279.501862
8/30/23,1.070924,280.651489
8/31/23,1.08084,281.028076
9/1/23,1.051092,281.137085
9/5/23,1.070924,278.550476
9/6/23,1.070924,278.401825
9/7/23,1.070924,279.878448
9/8/23,0.981681,279.967651
9/11/23,1.041176,280.968597
9/12/23,1.041176,278.778412
9/13/23,1.041176,277.569305
9/14/23,1.041176,283.166443
9/15/23,1.021345,281.555908
9/18/23,1.041176,285.721466
9/19/23,1.021345,284.130798
9/20/23,1.021345,284.071136
9/21/23,1.011429,277.53952
9/22/23,0.991597,276.117859
9/25/23,0.991597,275.044189
9/26/23,1.001513,271.902618
9/27/23,1.051092,271.385681
9/28/23,1.051092,272.588593
9/29/23,1.051092,270.649994
10/2/23,0.971765,271.326019
10/3/23,0.991597,269.904388
10/4/23,1.001513,272.628357
10/5/23,1.001513,271.634247
10/6/23,1.021345,274.527252
10/9/23,1.021345,284.637817
10/10/23,1.070924,283.385162
10/11/23,1.070924,285.920288
10/12/23,1.070924,286.596313
10/13/23,1.070924,286.467072
10/16/23,1.090756,291.606873
10/17/23,1.08084,288.157135
10/18/23,0.951933,286.536652
10/19/23,1.041176,280.293335
10/20/23,1.041176,279.607361
10/23/23,1.051092,277.798004
10/24/23,1.090756,279.796265
10/25/23,1.070924,278.871704
10/26/23,1.140336,273.234802
10/27/23,1.150252,270.799133
10/30/23,1.170084,274.60675
10/31/23,1.160168,276.833649
11/1/23,1.160168,278.861755
11/2/23,1.18,279.527863
11/3/23,1.18,297.671265
11/6/23,1.219664,302.801086
11/7/23,1.219664,303.198792
11/8/23,1.150252,307.384216
11/9/23,1.170084,306.99646
